timestamps,actual_open,actual_high,actual_low,actual_close,pred_open,pred_high,pred_low,pred_close,close_error,absolute_error,percentage_error,open_error,high_error,low_error,horizon,rolling_mae,normalized_error
2021-12-16,1110.2301025390625,1114.7528076171875,1093.131591796875,1109.3994140625,683.2827,722.77747,691.697,711.71155,-397.6878662109375,397.6878662109375,35.84713144517066,-426.9473876953125,-391.975341796875,-401.4345703125,237,533.8542785644531,0.3584713144517066
2021-12-17,1106.69970703125,1111.2916259765625,1070.6795654296875,1080.1173095703125,670.4889,754.74493,668.96533,690.989,-389.1282958984375,389.1282958984375,36.02648457260988,-436.2108154296875,-356.54669189453125,-401.7142333984375,238,520.2790100097657,0.3602648457260988
2021-12-20,1069.6873779296875,1069.6873779296875,1037.0362548828125,1050.9967041015625,731.53235,709.5405,615.00885,652.62714,-398.36956787109375,398.36956787109375,37.903978796169234,-338.155029296875,-360.1468505859375,-422.02740478515625,239,510.44156036376955,0.37903978796169235
2021-12-21,1066.6876220703125,1082.6785888671875,1057.8499755859375,1066.6414794921875,651.5698,668.0773,653.6023,678.1639,-388.47760009765625,388.47760009765625,36.420635008738344,-415.1177978515625,-414.601318359375,-404.2476806640625,240,500.9441513061523,0.36420635008738345
2021-12-22,1072.94091796875,1094.6314697265625,1071.6026611328125,1091.9547119140625,671.20575,660.8303,654.57025,651.83466,-440.12005615234375,440.12005615234375,40.305706028857855,-401.73516845703125,-433.8011474609375,-417.03240966796875,241,493.69476318359375,0.4030570602885786
2021-12-23,1095.6005859375,1098.36962890625,1088.23974609375,1091.5625,658.6364,692.0836,671.83167,702.1468,-389.41571044921875,389.41571044921875,35.675072242699684,-436.96417236328125,-406.2860107421875,-416.4080810546875,242,481.5227905273438,0.35675072242699685
2021-12-24,1093.754638671875,1103.9075927734375,1078.7789306640625,1095.046875,696.0094,702.1962,711.6713,719.6085,-375.4383544921875,375.4383544921875,34.28514003039253,-397.7452392578125,-401.71136474609375,-367.10760498046875,243,469.8837554931641,0.34285140030392536
2021-12-27,1089.85498046875,1097.4466552734375,1083.6478271484375,1093.8699951171875,724.38116,734.4761,729.83466,739.57635,-354.29364013671875,354.29364013671875,32.389007991645556,-365.47381591796875,-362.9705810546875,-353.81317138671875,244,457.07196044921875,0.3238900799164556
2021-12-28,1096.3389892578125,1109.837890625,1095.1622314453125,1106.8612060546875,732.5643,723.5129,733.51306,725.23596,-381.625244140625,381.625244140625,34.478147942405144,-363.77471923828125,-386.32501220703125,-361.649169921875,245,446.7918426513672,0.34478147942405146
2021-12-29,1103.4461669921875,1116.3681640625,1099.3387451171875,1108.75341796875,720.5458,724.8447,733.82306,735.1337,-373.61968994140625,373.61968994140625,33.69727514580133,-382.900390625,-391.5234375,-365.51568603515625,246,435.0984313964844,0.33697275145801325
