timestamp,pred_open,pred_high,pred_low,pred_close,pred_volume,amount,actual_open,actual_high,actual_low,actual_close,close_error,absolute_error,squared_error
2023-08-07,17704.053,17714.889,17748.88,17791.9,213642.11,3.7331779e+09,19576.849609375,19620.44921875,19524.80078125,19597.30078125,-1805.400390625,1805.400390625,3259470.5704689026
2023-08-08,17764.27,17831.889,17726.408,17689.297,218257.47,3.8449024e+09,19627.19921875,19634.400390625,19533.099609375,19570.849609375,-1881.552734375,1881.552734375,3540240.6922340393
2023-08-09,17738.15,17790.11,17244.41,17473.24,217261.66,3.874415e+09,19578.80078125,19645.5,19467.5,19632.55078125,-2159.310546875,2159.310546875,4662622.037845612
2023-08-10,17472.629,17647.457,17247.207,17408.22,224252.6,3.9555556e+09,19605.55078125,19623.599609375,19495.400390625,19543.099609375,-2134.87890625,2134.87890625,4557707.944351196
2023-08-11,17536.02,17690.768,17442.436,17451.066,238519.44,4.169649e+09,19554.25,19557.75,19412.75,19428.30078125,-1977.234375,1977.234375,3909455.7736816406
2023-08-14,17496.219,17566.709,17515.404,17601.895,236478.78,4.1335846e+09,19383.94921875,19465.849609375,19257.900390625,19434.55078125,-1832.65625,1832.65625,3358628.9306640625
2023-08-16,17565.045,17555.12,17471.715,17502.992,245382.39,4.266881e+09,19369.0,19482.75,19317.19921875,19465.0,-1962.0078125,1962.0078125,3849474.656311035
2023-08-17,17423.898,17413.25,17164.682,17481.26,241127.62,4.2030034e+09,19450.55078125,19461.55078125,19326.25,19365.25,-1883.990234375,1883.990234375,3549419.2032203674
2023-08-18,17448.648,17504.453,17464.248,17548.467,238995.31,4.1746122e+09,19301.75,19373.80078125,19253.599609375,19310.150390625,-1761.68359375,1761.68359375,3103529.084487915
2023-08-21,17525.736,17507.83,17504.463,17492.951,223662.4,3.9260716e+09,19320.650390625,19425.94921875,19296.30078125,19393.599609375,-1900.6484375,1900.6484375,3612464.4829711914
2023-08-22,17679.365,17793.531,17751.566,17879.602,215635.72,3.7585608e+09,19417.099609375,19443.5,19381.30078125,19396.44921875,-1516.84765625,1516.84765625,2300826.812271118
2023-08-23,17738.078,17682.545,17650.645,17612.404,216207.64,3.7916216e+09,19439.19921875,19472.05078125,19366.599609375,19444.0,-1831.595703125,1831.595703125,3354742.819705963
2023-08-24,17615.012,17635.816,17621.773,17665.244,232991.52,4.059627e+09,19535.150390625,19584.44921875,19369.0,19386.69921875,-1721.455078125,1721.455078125,2963407.58600235
